Recipe 0001, score: 7101012451.
Recipe 0176, score: 1211611910.
Recipe 0177, score: 2116119103.
Recipe 0178, score: 1161191031.
Recipe 0179, score: 1611910314.
Recipe 0180, score: 6119103147.
Recipe 0181, score: 1191031477.
Recipe 0182, score: 1910314771.
Recipe 0183, score: 9103147713.
Recipe 0184, score: 1031477139.
Recipe 0185, score: 0314771398.
Recipe 0186, score: 3147713982.
Recipe 0187, score: 1477139825.
Recipe 0188, score: 4771398258.
Recipe 0189, score: 7713982585.
Recipe 0190, score: 7139825851.
Recipe 0191, score: 1398258510.
Recipe 0192, score: 3982585108.
Recipe 0193, score: 9825851086.
Recipe 0194, score: 8258510861.
Recipe 0195, score: 2585108612.
Recipe 0196, score: 5851086129.
Recipe 0197, score: 8510861291.
Recipe 0198, score: 5108612910.
Recipe 0199, score: 1086129109.
Recipe 0200, score: 0861291091.
Recipe 0201, score: 8612910913.
Recipe 0202, score: 6129109137.
Recipe 0203, score: 1291091377.
Recipe 0204, score: 2910913771.
Recipe 0205, score: 9109137718.
Recipe 0206, score: 1091377189.
Recipe 0207, score: 0913771892.
Recipe 0208, score: 9137718921.
Recipe 0209, score: 1377189210.
Recipe 0210, score: 3771892101.
Recipe 0211, score: 7718921014.
Recipe 0212, score: 7189210142.
Recipe 0213, score: 1892101422.
Recipe 0214, score: 8921014221.
Recipe 0215, score: 9210142210.
Recipe 0216, score: 2101422101.
Recipe 0217, score: 1014221014.
Recipe 0218, score: 0142210148.
Recipe 0219, score: 1422101489.
Recipe 0220, score: 4221014898.
Recipe 0221, score: 2210148988.
Recipe 0222, score: 2101489881.
Recipe 0223, score: 1014898811.
Recipe 0224, score: 0148988111.
Recipe 0225, score: 1489881112.
Recipe 0226, score: 4898811124.
Recipe 0227, score: 8988111246.
Recipe 0228, score: 9881112461.
Recipe 0229, score: 8811124613.
Recipe 0230, score: 8111246131.
Recipe 0231, score: 1112461310.
Recipe 0232, score: 1124613101.
Recipe 0233, score: 1246131010.
Recipe 0234, score: 2461310101.
Recipe 0235, score: 4613101011.
Recipe 0236, score: 6131010111.
Recipe 0237, score: 1310101114.
Recipe 0238, score: 3101011147.
Recipe 0239, score: 1010111471.
Recipe 0240, score: 0101114714.
Recipe 0241, score: 1011147141.
Recipe 0242, score: 0111471415.
Recipe 0243, score: 1114714151.
Recipe 0244, score: 1147141512.
Recipe 0245, score: 1471415128.
Recipe 0246, score: 4714151288.
Recipe 0247, score: 7141512882.
Recipe 0248, score: 1415128822.
Recipe 0249, score: 4151288221.
Recipe 0250, score: 1512882210.
Recipe 0251, score: 5128822101.
Recipe 0252, score: 1288221014.
Recipe 0253, score: 2882210148.
Recipe 0254, score: 8822101489.
Recipe 0255, score: 8221014898.
Recipe 0256, score: 2210148988.
Recipe 0257, score: 2101489881.
Recipe 0258, score: 1014898811.
Recipe 0259, score: 0148988111.
Recipe 0260, score: 1489881112.
Recipe 0261, score: 4898811124.
Recipe 0262, score: 8988111246.
Recipe 0263, score: 9881112461.
Recipe 0264, score: 8811124613.
Recipe 0265, score: 8111246131.
Recipe 0266, score: 1112461310.
Recipe 0267, score: 1124613101.
Recipe 0268, score: 1246131010.
Recipe 0269, score: 2461310101.
Recipe 0270, score: 4613101011.
Recipe 0271, score: 6131010111.
Recipe 0272, score: 1310101114.
Recipe 0273, score: 3101011147.
Recipe 0274, score: 1010111471.
Recipe 0275, score: 0101114714.
Recipe 0276, score: 1011147141.
Recipe 0277, score: 0111471415.
Recipe 0278, score: 1114714151.
Recipe 0279, score: 1147141512.
Recipe 0280, score: 1471415128.
Recipe 0281, score: 4714151281.
Recipe 0282, score: 7141512813.
Recipe 0283, score: 1415128139.
Recipe 0284, score: 4151281394.
Recipe 0285, score: 1512813946.
Recipe 0286, score: 5128139466.
Recipe 0287, score: 1281394662.
Recipe 0288, score: 2813946621.
Recipe 0289, score: 8139466215.
Recipe 0290, score: 1394662159.
Recipe 0291, score: 3946621591.
Recipe 0292, score: 9466215910.
Recipe 0293, score: 4662159101.
Recipe 0294, score: 6621591010.
Recipe 0295, score: 6215910109.
Recipe 0296, score: 2159101092.
Recipe 0297, score: 1591010925.
Recipe 0298, score: 5910109251.
Recipe 0299, score: 9101092518.
Recipe 0300, score: 1010925181.
Recipe 0301, score: 0109251816.
Recipe 0302, score: 1092518162.
Recipe 0303, score: 0925181629.
Recipe 0304, score: 9251816291.
Recipe 0305, score: 2518162916.
Recipe 0306, score: 5181629165.
Recipe 0307, score: 1816291651.
Recipe 0308, score: 8162916512.
Recipe 0309, score: 1629165129.
Recipe 0310, score: 6291651296.
Recipe 0311, score: 2916512965.
Recipe 0312, score: 9165129658.
Recipe 0313, score: 1651296581.
Recipe 0314, score: 6512965817.
Recipe 0315, score: 5129658171.
Recipe 0316, score: 1296581710.
Recipe 0317, score: 2965817108.
Recipe 0318, score: 9658171086.
Recipe 0319, score: 6581710867.
Recipe 0320, score: 5817108671.
Recipe 0321, score: 8171086710.
Recipe 0322, score: 1710867107.
Recipe 0323, score: 7108671072.
Recipe 0324, score: 1086710721.
Recipe 0325, score: 0867107210.
Recipe 0326, score: 8671072106.
Recipe 0327, score: 6710721061.
Recipe 0328, score: 7107210610.
Recipe 0329, score: 1072106107.
Recipe 0330, score: 0721061071.
Recipe 0331, score: 7210610714.
Recipe 0332, score: 2106107145.
Recipe 0333, score: 1061071458.
Recipe 0334, score: 0610714589.
Recipe 0335, score: 6107145891.
Recipe 0336, score: 1071458913.
Recipe 0337, score: 0714589138.
Recipe 0338, score: 7145891381.
Recipe 0339, score: 1458913812.
Recipe 0340, score: 4589138121.
Recipe 0341, score: 5891381214.
Recipe 0342, score: 8913812141.
Recipe 0343, score: 9138121418.
Recipe 0344, score: 1381214181.
Recipe 0345, score: 3812141810.
Recipe 0346, score: 8121418109.
Recipe 0347, score: 1214181098.
Recipe 0348, score: 2141810981.
Recipe 0349, score: 1418109813.
Recipe 0350, score: 4181098131.
Recipe 0351, score: 1810981313.
Recipe 0352, score: 8109813134.
Recipe 0353, score: 1098131341.
Recipe 0354, score: 0981313413.
Recipe 0355, score: 9813134131.
Recipe 0356, score: 8131341310.
Recipe 0357, score: 1313413102.
Recipe 0358, score: 3134131021.
Recipe 0359, score: 1341310210.
Recipe 0360, score: 3413102109.
Recipe 0361, score: 4131021091.
Recipe 0362, score: 1310210913.
Recipe 0363, score: 3102109131.
Recipe 0364, score: 1021091314.
Recipe 0365, score: 0210913149.
Recipe 0366, score: 2109131499.
Recipe 0367, score: 1091314991.
Recipe 0368, score: 0913149912.
Recipe 0369, score: 9131499128.
Recipe 0370, score: 1314991286.
Recipe 0371, score: 3149912861.
Recipe 0372, score: 1499128610.
Recipe 0373, score: 4991286102.
Recipe 0374, score: 9912861021.
Recipe 0375, score: 9128610215.
Recipe 0376, score: 1286102151.
Recipe 0377, score: 2861021511.
Recipe 0378, score: 8610215119.
Recipe 0379, score: 6102151198.
Recipe 0380, score: 1021511981.
Recipe 0381, score: 0215119815.
Recipe 0382, score: 2151198152.
Recipe 0383, score: 1511981521.
Recipe 0384, score: 5119815212.
Recipe 0385, score: 1198152129.
Recipe 0386, score: 1981521292.
Recipe 0387, score: 9815212922.
Recipe 0388, score: 8152129221.
Recipe 0389, score: 1521292210.
Recipe 0390, score: 5212922101.
Recipe 0391, score: 2129221018.
Recipe 0392, score: 1292210181.
Recipe 0393, score: 2922101811.
Recipe 0394, score: 9221018111.
Recipe 0395, score: 2210181111.
Recipe 0396, score: 2101811118.
Recipe 0397, score: 1018111187.
Recipe 0398, score: 0181111879.
Recipe 0399, score: 1811118791.
Recipe 0400, score: 8111187914.
Recipe 0401, score: 1111879142.
Recipe 0402, score: 1118791422.
Recipe 0403, score: 1187914228.
Recipe 0404, score: 1879142289.
Recipe 0405, score: 8791422891.
Recipe 0406, score: 7914228916.
Recipe 0407, score: 9142289164.
Recipe 0408, score: 1422891644.
Recipe 0409, score: 4228916441.
Recipe 0410, score: 2289164412.
Recipe 0411, score: 2891644128.
Recipe 0412, score: 8916441285.
Recipe 0413, score: 9164412851.
Recipe 0414, score: 1644128518.
Recipe 0415, score: 6441285188.
Recipe 0416, score: 4412851881.
Recipe 0417, score: 4128518810.
Recipe 0418, score: 1285188106.
Recipe 0419, score: 2851881061.
Recipe 0420, score: 8518810615.
Recipe 0421, score: 5188106154.
Recipe 0422, score: 1881061541.
Recipe 0423, score: 8810615411.
Recipe 0424, score: 8106154114.
Recipe 0425, score: 1061541141.
Recipe 0426, score: 0615411410.
Recipe 0427, score: 6154114105.
Recipe 0428, score: 1541141052.
Recipe 0429, score: 5411410521.
Recipe 0430, score: 4114105210.
Recipe 0431, score: 1141052103.
Recipe 0432, score: 1410521031.
Recipe 0433, score: 4105210314.
Recipe 0434, score: 1052103146.
Recipe 0435, score: 0521031468.
Recipe 0436, score: 5210314681.
Recipe 0437, score: 2103146818.
Recipe 0438, score: 1031468186.
Recipe 0439, score: 0314681862.
Recipe 0440, score: 3146818629.
Recipe 0441, score: 1468186296.
Recipe 0442, score: 4681862962.
Recipe 0443, score: 6818629622.
Recipe 0444, score: 8186296227.
Recipe 0445, score: 1862962271.
Recipe 0446, score: 8629622713.
Recipe 0447, score: 6296227132.
Recipe 0448, score: 2962271321.
Recipe 0449, score: 9622713212.
Recipe 0450, score: 6227132121.
Recipe 0451, score: 2271321213.
Recipe 0452, score: 2713212137.
Recipe 0453, score: 7132121378.
Recipe 0454, score: 1321213781.
Recipe 0455, score: 3212137813.
Recipe 0456, score: 2121378135.
Recipe 0457, score: 1213781357.
Recipe 0458, score: 2137813571.
Recipe 0459, score: 1378135710.
Recipe 0460, score: 3781357101.
Recipe 0461, score: 7813571011.
Recipe 0462, score: 8135710112.
Recipe 0463, score: 1357101121.
Recipe 0464, score: 3571011216.
Recipe 0465, score: 5710112161.
Recipe 0466, score: 7101121610.
Recipe 0467, score: 1011216103.
Recipe 0468, score: 0112161039.
Recipe 0469, score: 1121610399.
Recipe 0470, score: 1216103998.
Recipe 0471, score: 2161039986.
Recipe 0472, score: 1610399861.
Recipe 0473, score: 6103998613.
Recipe 0474, score: 1039986138.
Recipe 0475, score: 0399861381.
Recipe 0476, score: 3998613815.
Recipe 0477, score: 9986138154.
Recipe 0478, score: 9861381540.
Recipe 0479, score: 8613815408.
Recipe 0480, score: 6138154085.
Recipe 0481, score: 1381540851.
Recipe 0482, score: 3815408511.
Recipe 0483, score: 8154085114.
Recipe 0484, score: 1540851141.
Recipe 0485, score: 5408511414.
Recipe 0486, score: 4085114145.
Recipe 0487, score: 0851141451.
Recipe 0488, score: 8511414510.
Recipe 0489, score: 5114145101.
Recipe 0490, score: 1141451015.
Recipe 0491, score: 1414510151.
Recipe 0492, score: 4145101510.
Recipe 0493, score: 1451015105.
Recipe 0494, score: 4510151051.
Recipe 0495, score: 5101510513.
Recipe 0496, score: 1015105137.
Recipe 0497, score: 0151051371.
Recipe 0498, score: 1510513714.
Recipe 0499, score: 5105137141.
Recipe 0500, score: 1051371412.
Recipe 0501, score: 0513714122.
Recipe 0502, score: 5137141226.
Recipe 0503, score: 1371412261.
Recipe 0504, score: 3714122610.
Recipe 0505, score: 7141226101.
Recipe 0506, score: 1412261018.
Recipe 0507, score: 4122610181.
Recipe 0508, score: 1226101814.
Recipe 0509, score: 2261018147.
Recipe 0510, score: 2610181479.
Recipe 0511, score: 6101814791.
Recipe 0512, score: 1018147916.
Recipe 0513, score: 0181479162.
Recipe 0514, score: 1814791628.
Recipe 0515, score: 8147916289.
Recipe 0516, score: 1479162892.
Recipe 0517, score: 4791628929.
Recipe 0518, score: 7916289291.
Recipe 0519, score: 9162892910.
Recipe 0520, score: 1628929101.
Recipe 0521, score: 6289291013.
Recipe 0522, score: 2892910136.
Recipe 0523, score: 8929101361.
Recipe 0524, score: 9291013615.
Recipe 0525, score: 2910136151.
Recipe 0526, score: 9101361510.
Recipe 0527, score: 1013615106.
Recipe 0528, score: 0136151061.
Recipe 0529, score: 1361510612.
Recipe 0530, score: 3615106121.
Recipe 0531, score: 6151061212.
Recipe 0532, score: 1510612122.
Recipe 0533, score: 5106121223.
Recipe 0534, score: 1061212238.
Recipe 0535, score: 0612122381.
Recipe 0536, score: 6121223815.
Recipe 0537, score: 1212238159.
Recipe 0538, score: 2122381595.
Recipe 0539, score: 1223815951.
Recipe 0540, score: 2238159514.
Recipe 0541, score: 2381595147.
Recipe 0542, score: 3815951477.
Recipe 0543, score: 8159514779.
Recipe 0544, score: 1595147799.
Recipe 0545, score: 5951477992.
Recipe 0546, score: 9514779921.
Recipe 0547, score: 5147799210.
Recipe 0548, score: 1477992101.
Recipe 0549, score: 4779921011.
Recipe 0550, score: 7799210119.
Recipe 0551, score: 7992101192.
Recipe 0552, score: 9921011927.
Recipe 0553, score: 9210119272.
Recipe 0554, score: 2101192726.
Recipe 0555, score: 1011927268.
Recipe 0556, score: 0119272681.
Recipe 0557, score: 1192726810.
Recipe 0558, score: 1927268107.
Recipe 0559, score: 9272681079.
Recipe 0560, score: 2726810791.
Recipe 0561, score: 7268107918.
Recipe 0562, score: 2681079182.
Recipe 0563, score: 6810791823.
Recipe 0564, score: 8107918231.
Recipe 0565, score: 1079182316.
Recipe 0566, score: 0791823169.
Recipe 0567, score: 7918231692.
Recipe 0568, score: 9182316929.
Recipe 0569, score: 1823169295.
Recipe 0570, score: 8231692951.
Recipe 0571, score: 2316929510.
Recipe 0572, score: 3169295108.
Recipe 0573, score: 1692951082.
Recipe 0574, score: 6929510828.
Recipe 0575, score: 9295108288.
Recipe 0576, score: 2951082888.
Recipe 0577, score: 9510828889.
Recipe 0578, score: 5108288899.
Recipe 0579, score: 1082888996.
Recipe 0580, score: 0828889969.
Recipe 0581, score: 8288899695.
Recipe 0582, score: 2888996951.
Recipe 0583, score: 8889969515.
Recipe 0584, score: 8899695153.
Recipe 0585, score: 8996951537.
Recipe 0586, score: 9969515377.
Recipe 0587, score: 9695153771.
Recipe 0588, score: 6951537713.
Recipe 0589, score: 9515377131.
Recipe 0590, score: 5153771310.
Recipe 0591, score: 1537713102.
Recipe 0592, score: 5377131022.
Recipe 0593, score: 3771310224.
Recipe 0594, score: 7713102241.
Recipe 0595, score: 7131022411.
Recipe 0596, score: 1310224111.
Recipe 0597, score: 3102241119.
Recipe 0598, score: 1022411196.
Recipe 0599, score: 0224111966.
Recipe 0600, score: 2241119662.
Recipe 0601, score: 2411196621.
Recipe 0602, score: 4111966213.
Recipe 0603, score: 1119662139.
Recipe 0604, score: 1196621393.
Recipe 0605, score: 1966213937.
Recipe 0606, score: 9662139379.
Recipe 0607, score: 6621393792.
Recipe 0608, score: 6213937928.
Recipe 0609, score: 2139379281.
Recipe 0610, score: 1393792818.
Recipe 0611, score: 3937928181.
Recipe 0612, score: 9379281815.
Recipe 0613, score: 3792818159.
Recipe 0614, score: 7928181591.
Recipe 0615, score: 9281815918.
Recipe 0616, score: 2818159181.
Recipe 0617, score: 8181591811.
Recipe 0618, score: 1815918112.
Recipe 0619, score: 8159181121.
Recipe 0620, score: 1591811215.
Recipe 0621, score: 5918112151.
Recipe 0622, score: 9181121515.
Recipe 0623, score: 1811215159.
Recipe 0624, score: 8112151598.
Recipe 0625, score: 1121515981.
Recipe 0626, score: 1215159811.
Recipe 0627, score: 2151598111.
Recipe 0628, score: 1515981114.
Recipe 0629, score: 5159811141.
Recipe 0630, score: 1598111415.
Recipe 0631, score: 5981114151.
Recipe 0632, score: 9811141512.
Recipe 0633, score: 8111415129.
Recipe 0634, score: 1114151291.
Recipe 0635, score: 1141512910.
Recipe 0636, score: 1415129103.
Recipe 0637, score: 4151291038.
Recipe 0638, score: 1512910389.
Recipe 0639, score: 5129103891.
Recipe 0640, score: 1291038910.
Recipe 0641, score: 2910389108.
Recipe 0642, score: 9103891081.
Recipe 0643, score: 1038910810.
Recipe 0644, score: 0389108106.
Recipe 0645, score: 3891081061.
Recipe 0646, score: 8910810615.
Recipe 0647, score: 9108106154.
Recipe 0648, score: 1081061541.
Recipe 0649, score: 0810615411.
Recipe 0650, score: 8106154114.
Recipe 0651, score: 1061541141.
Recipe 0652, score: 0615411410.
Recipe 0653, score: 6154114105.
Recipe 0654, score: 1541141052.
Recipe 0655, score: 5411410521.
Recipe 0656, score: 4114105210.
Recipe 0657, score: 1141052103.
Recipe 0658, score: 1410521031.
Recipe 0659, score: 4105210314.
Recipe 0660, score: 1052103146.
Recipe 0661, score: 0521031468.
Recipe 0662, score: 5210314681.
Recipe 0663, score: 2103146818.
Recipe 0664, score: 1031468186.
Recipe 0665, score: 0314681862.
Recipe 0666, score: 3146818629.
Recipe 0667, score: 1468186296.
Recipe 0668, score: 4681862962.
Recipe 0669, score: 6818629622.
Recipe 0670, score: 8186296227.
Recipe 0671, score: 1862962271.
Recipe 0672, score: 8629622713.
Recipe 0673, score: 6296227132.
Recipe 0674, score: 2962271321.
Recipe 0675, score: 9622713212.
Recipe 0676, score: 6227132121.
Recipe 0677, score: 2271321213.
Recipe 0678, score: 2713212137.
Recipe 0679, score: 7132121378.
Recipe 0680, score: 1321213781.
Recipe 0681, score: 3212137813.
Recipe 0682, score: 2121378135.
Recipe 0683, score: 1213781357.
Recipe 0684, score: 2137813571.
Recipe 0685, score: 1378135710.
Recipe 0686, score: 3781357101.
Recipe 0687, score: 7813571011.
Recipe 0688, score: 8135710112.
Recipe 0689, score: 1357101121.
Recipe 0690, score: 3571011216.
Recipe 0691, score: 5710112161.
Recipe 0692, score: 7101121610.
Recipe 0693, score: 1011216103.
Recipe 0694, score: 0112161039.
Recipe 0695, score: 1121610399.
Recipe 0696, score: 1216103997.
Recipe 0697, score: 2161039971.
Recipe 0698, score: 1610399711.
Recipe 0699, score: 6103997115.
Recipe 0700, score: 1039971158.
Recipe 0701, score: 0399711589.
Recipe 0702, score: 3997115894.
Recipe 0703, score: 9971158945.
Recipe 0704, score: 9711589452.
Recipe 0705, score: 7115894523.
Recipe 0706, score: 1158945237.
Recipe 0707, score: 1589452372.
Recipe 0708, score: 5894523721.
Recipe 0709, score: 8945237210.
Recipe 0710, score: 9452372108.
Recipe 0711, score: 4523721081.
Recipe 0712, score: 5237210818.
Recipe 0713, score: 2372108181.
Recipe 0714, score: 3721081812.
Recipe 0715, score: 7210818121.
Recipe 0716, score: 2108181216.
Recipe 0717, score: 1081812169.
Recipe 0718, score: 0818121699.
Recipe 0719, score: 8181216992.
Recipe 0720, score: 1812169921.
Recipe 0721, score: 8121699212.
Recipe 0722, score: 1216992121.
Recipe 0723, score: 2169921210.
Recipe 0724, score: 1699212109.
Recipe 0725, score: 6992121098.
Recipe 0726, score: 9921210985.
Recipe 0727, score: 9212109851.
Recipe 0728, score: 2121098515.
Recipe 0729, score: 1210985157.
Recipe 0730, score: 2109851571.
Recipe 0731, score: 1098515711.
Recipe 0732, score: 0985157111.
Recipe 0733, score: 9851571118.
Recipe 0734, score: 8515711181.
Recipe 0735, score: 5157111815.
Recipe 0736, score: 1571118151.
Recipe 0737, score: 5711181511.
Recipe 0738, score: 7111815114.
Recipe 0739, score: 1118151142.
Recipe 0740, score: 1181511426.
Recipe 0741, score: 1815114265.
Recipe 0742, score: 8151142657.
Recipe 0743, score: 1511426579.
Recipe 0744, score: 5114265793.
Recipe 0745, score: 1142657935.
Recipe 0746, score: 1426579351.
Recipe 0747, score: 4265793512.
Recipe 0748, score: 2657935127.
Recipe 0749, score: 6579351273.
Recipe 0750, score: 5793512736.
Recipe 0751, score: 7935127367.
Recipe 0752, score: 9351273677.
Recipe 0753, score: 3512736776.
Recipe 0754, score: 5127367765.
Recipe 0755, score: 1273677651.
Recipe 0756, score: 2736776511.
Recipe 0757, score: 7367765115.
Recipe 0758, score: 3677651153.
Recipe 0759, score: 6776511533.
Recipe 0760, score: 7765115331.
Recipe 0761, score: 7651153310.
Recipe 0762, score: 6511533104.
Recipe 0763, score: 5115331047.
Recipe 0764, score: 1153310474.
Recipe 0765, score: 1533104741.
Recipe 0766, score: 5331047417.
Recipe 0767, score: 3310474176.
Recipe 0768, score: 3104741762.
Recipe 0769, score: 1047417625.
Recipe 0770, score: 0474176251.
Recipe 0771, score: 4741762511.
Recipe 0772, score: 7417625112.
Recipe 0773, score: 4176251123.
Recipe 0774, score: 1762511231.
Recipe 0775, score: 7625112315.
Recipe 0776, score: 6251123151.
Recipe 0777, score: 2511231510.
Recipe 0778, score: 5112315101.
Recipe 0779, score: 1123151014.
Recipe 0780, score: 1231510141.
Recipe 0781, score: 2315101410.
Recipe 0782, score: 3151014106.
Recipe 0783, score: 1510141061.
Recipe 0784, score: 5101410615.
Recipe 0785, score: 1014106151.
Recipe 0786, score: 0141061513.
Recipe 0787, score: 1410615136.
Recipe 0788, score: 4106151364.
Recipe 0789, score: 1061513641.
Recipe 0790, score: 0615136412.
Recipe 0791, score: 6151364121.
Recipe 0792, score: 1513641213.
Recipe 0793, score: 5136412139.
Recipe 0794, score: 1364121391.
Recipe 0795, score: 3641213916.
Recipe 0796, score: 6412139166.
Recipe 0797, score: 4121391661.
Recipe 0798, score: 1213916611.
Recipe 0799, score: 2139166111.
Recipe 0800, score: 1391661113.
Recipe 0801, score: 3916611131.
Recipe 0802, score: 9166111315.
Recipe 0803, score: 1661113151.
Recipe 0804, score: 6611131518.
Recipe 0805, score: 6111315189.
Recipe 0806, score: 1113151891.
Recipe 0807, score: 1131518917.
Recipe 0808, score: 1315189176.
Recipe 0809, score: 3151891766.
Recipe 0810, score: 1518917665.
Recipe 0811, score: 5189176651.
Recipe 0812, score: 1891766512.
Recipe 0813, score: 8917665126.
Recipe 0814, score: 9176651263.
Recipe 0815, score: 1766512639.
Recipe 0816, score: 7665126391.
Recipe 0817, score: 6651263915.
Recipe 0818, score: 6512639152.
Recipe 0819, score: 5126391529.
Recipe 0820, score: 1263915299.
Recipe 0821, score: 2639152994.
Recipe 0822, score: 6391529942.
